Lake,Year,Alk/Acid,Tot-P,WaterTemp,LakeYear,BelowLN,Size,Richness,Latfix,DCA1,DCA2
Älgarydssjön,2016,0.0205,16.65,11.9,Älgarydssjön 2016,YES,0.319,20,57.1756836,0.008041299,-0.370330774
Älgarydssjön,2017,0.002666667,18.16666667,12.43333333,Älgarydssjön 2017,YES,0.319,21,57.1756836,-0.619467405,0.242619903
Älgsjön,1995,0.226,19,19.7,Älgsjön 1995,YES,0.6718,24,59.09493802,-0.107834332,-0.658459394
Älgsjön,1996,0.2595,15,14.55,Älgsjön 1996,YES,0.6718,29,59.09493802,0.863002832,0.218887845
Älgsjön,1997,0.316,25.66666667,13.18333333,Älgsjön 1997,YES,0.6718,31,59.09493802,0.802850908,-0.258752754
Älgsjön,1998,0.257666667,27.33333333,13.38333333,Älgsjön 1998,YES,0.6718,29,59.09493802,0.321487294,-0.067660053
Älgsjön,1999,0.2905,24,14.61666667,Älgsjön 1999,YES,0.6718,27,59.09493802,0.529244519,0.023597744
Älgsjön,2000,0.274,27.83333333,13.65,Älgsjön 2000,YES,0.6718,33,59.09493802,0.487140573,0.082579817
Älgsjön,2001,0.195666667,26.16666667,14.33333333,Älgsjön 2001,YES,0.6718,28,59.09493802,0.622633971,0.191071135
Älgsjön,2002,0.228333333,25.83333333,14.76666667,Älgsjön 2002,YES,0.6718,31,59.09493802,0.612191669,0.029259004
Älgsjön,2003,0.261666667,22.83333333,13.6,Älgsjön 2003,YES,0.6718,34,59.09493802,0.636705516,-0.06494806
Älgsjön,2004,0.26,24.16666667,15.15,Älgsjön 2004,YES,0.6718,37,59.09493802,0.28862279,-0.085863382
Älgsjön,2005,0.26,29.5,14.03333333,Älgsjön 2005,YES,0.6718,47,59.09493802,0.203673957,-0.193215354
Allgjuttern,1995,0.075777778,12.11111111,11.01111111,Allgjuttern 1995,YES,0.1616,32,57.94793614,-0.624806245,-0.016398713
Allgjuttern,1996,0.080833333,6.166666667,9.3,Allgjuttern 1996,YES,0.1616,35,57.94793614,-0.921133719,-0.40147416
Allgjuttern,1997,0.077,5.222222222,10.81111111,Allgjuttern 1997,YES,0.1616,31,57.94793614,-0.651176901,-0.242652715
Allgjuttern,1998,0.071222222,6.666666667,9.588888889,Allgjuttern 1998,YES,0.1616,46,57.94793614,-1.087689334,0.026663672
Allgjuttern,1999,0.080555556,6.777777778,9.866666667,Allgjuttern 1999,YES,0.1616,37,57.94793614,-0.547523084,0.064912551
Allgjuttern,2000,0.075666667,6.111111111,10.87777778,Allgjuttern 2000,YES,0.1616,23,57.94793614,-1.136226452,-0.472005447
Allgjuttern,2001,0.068666667,6.666666667,10.73333333,Allgjuttern 2001,YES,0.1616,18,57.94793614,0.247681416,-0.361405012
Allgjuttern,2002,0.072,8.222222222,11.44444444,Allgjuttern 2002,YES,0.1616,33,57.94793614,-0.567475541,0.70230196
Allgjuttern,2003,0.073666667,9.111111111,11.6,Allgjuttern 2003,YES,0.1616,40,57.94793614,-0.109899597,0.386875269
Allgjuttern,2004,0.074333333,8.444444444,13.38333333,Allgjuttern 2004,YES,0.1616,41,57.94793614,-0.537929166,0.490410939
Allgjuttern,2005,0.075,7.555555556,9.311111111,Allgjuttern 2005,YES,0.1616,39,57.94793614,-0.259449408,0.559408633
Allgjuttern,2006,0.081,6.666666667,11.55555556,Allgjuttern 2006,YES,0.1616,35,57.94793614,-0.277254951,0.64472932
Allgjuttern,2007,0.075,2.888888889,8.3,Allgjuttern 2007,YES,0.1616,47,57.94793614,0.032428763,0.146599637
Allgjuttern,2008,0.079666667,5.666666667,10.3,Allgjuttern 2008,YES,0.1616,35,57.94793614,-0.402212636,0.529161642
Allgjuttern,2009,0.081,7.3,10.03076923,Allgjuttern 2009,YES,0.1616,49,57.94793614,-0.705721773,0.317361106
Allgjuttern,2010,0.071333333,6.111111111,10.25416667,Allgjuttern 2010,YES,0.1616,32,57.94793614,-0.063957205,0.522819847
Allgjuttern,2011,0.078333333,6.333333333,11.2,Allgjuttern 2011,YES,0.1616,28,57.94793614,0.029930926,0.478196838
Allgjuttern,2012,0.083,6.333333333,11,Allgjuttern 2012,YES,0.1616,26,57.94793614,0.510252379,0.01827856
Allgjuttern,2013,0.082666667,6.777777778,9.777777778,Allgjuttern 2013,YES,0.1616,23,57.94793614,0.052780754,0.215086913
Allgjuttern,2014,0.084333333,7.977777778,10.86666667,Allgjuttern 2014,YES,0.1616,26,57.94793614,-0.337347447,0.591044112
Allgjuttern,2015,0.08075,5.55,10.26,Allgjuttern 2015,YES,0.1616,23,57.94793614,-0.384352492,0.757557242
Allgjuttern,2016,0.091333333,7.377777778,10.61111111,Allgjuttern 2016,YES,0.1616,15,57.94793614,-0.83175431,0.93682454
Allgjuttern,2017,0.089333333,6.688888889,11.13333333,Allgjuttern 2017,YES,0.1616,34,57.94793614,-0.392758529,0.656178872
Alsjön,1995,0.003,14.5,12.1,Alsjön 1995,YES,0.0558,30,58.31508887,-1.46801436,-0.209128668
Alsjön,1996,1.00E-04,9.5,14.25,Alsjön 1996,YES,0.0558,18,58.31508887,-1.101114588,-0.094112944
Alsjön,1997,1.00E-04,10,15.9,Alsjön 1997,YES,0.0558,30,58.31508887,-0.957098017,-0.009618179
Alsjön,1998,1.00E-04,12,13.1,Alsjön 1998,YES,0.0558,29,58.31508887,-0.997622589,-0.042853054
Alsjön,1999,1.00E-04,17.5,14.3,Alsjön 1999,YES,0.0558,27,58.31508887,-1.22197355,-0.092844475
Alsjön,2000,1.00E-04,13.5,14.8,Alsjön 2000,YES,0.0558,27,58.31508887,-1.12505965,0.025073326
Alsjön,2001,1.00E-04,12,14.2,Alsjön 2001,YES,0.0558,29,58.31508887,-1.170916958,-0.089058339
Alsjön,2002,0.0035,13,15,Alsjön 2002,YES,0.0558,26,58.31508887,-1.189016881,-0.076200166
Alsjön,2003,1.00E-04,11,16.65,Alsjön 2003,YES,0.0558,35,58.31508887,-1.199987637,-0.056901369
Alsjön,2004,1.00E-04,8,10.8,Alsjön 2004,YES,0.0558,26,58.31508887,-0.776441488,-0.258261525
Alsjön,2005,1.00E-04,11,15.4,Alsjön 2005,YES,0.0558,26,58.31508887,-1.06895678,-0.12763036
Alsjön,2006,0.002,11.5,17.2,Alsjön 2006,YES,0.0558,23,58.31508887,-0.386870126,0.162619809
Alsjön,2007,1.00E-04,5,15.8,Alsjön 2007,YES,0.0558,22,58.31508887,-0.694604222,-0.066668281
Alsjön,2008,1.00E-04,12.5,13.2,Alsjön 2008,YES,0.0558,26,58.31508887,-0.73814826,0.02438812
Alsjön,2009,1.00E-04,13.33333333,9.466666667,Alsjön 2009,YES,0.0558,21,58.31508887,-0.862195582,0.056259535
Alsjön,2010,1.00E-04,15.5,13.1,Alsjön 2010,YES,0.0558,21,58.31508887,-0.309656947,0.552199798
Alsjön,2011,0.002,14.5,13.35,Alsjön 2011,YES,0.0558,23,58.31508887,-0.43170009,0.549401238
Alsjön,2012,1.00E-04,13,13.5,Alsjön 2012,YES,0.0558,23,58.31508887,-0.088841936,0.916158891
Alsjön,2013,0.0145,12.5,13.8,Alsjön 2013,YES,0.0558,28,58.31508887,-0.418959033,0.820189034
Alsjön,2014,0.011,11.95,15.7,Alsjön 2014,YES,0.0558,20,58.31508887,-0.92516554,0.418418818
Alsjön,2015,0.003666667,11.56666667,12,Alsjön 2015,YES,0.0558,20,58.31508887,-0.624091146,0.486631669
Alsjön,2016,0.009,9.6,11.85,Alsjön 2016,YES,0.0558,28,58.31508887,-0.877895224,0.221973415
Alsjön,2017,0.003,10.95,13.1,Alsjön 2017,YES,0.0558,33,58.31508887,-1.127001835,0.05527668
Bäen,1995,0.028,21,16.95,Bäen 1995,YES,0.575,25,56.24600447,-1.388699938,0.062288839
Bäen,1996,0.043,10,16.05,Bäen 1996,YES,0.575,29,56.24600447,-1.324913244,0.118091963
Bäen,1997,0.055,11,15.15,Bäen 1997,YES,0.575,31,56.24600447,-1.223465671,0.117870161
Bäen,1998,0.0545,11,13.75,Bäen 1998,YES,0.575,27,56.24600447,-0.891459865,0.465691448
Bäen,1999,0.0605,17.5,13.95,Bäen 1999,YES,0.575,29,56.24600447,-1.225843623,0.145768665
Bäen,2000,0.025,17.5,16,Bäen 2000,YES,0.575,25,56.24600447,-0.619437257,0.66362093
Bäen,2001,0.0085,16.5,16.45,Bäen 2001,YES,0.575,21,56.24600447,-0.166350253,0.198831871
Bäen,2002,0.0205,16,14.4,Bäen 2002,YES,0.575,21,56.24600447,-1.364282782,-0.057030714
Bäen,2003,0.0235,12,15.45,Bäen 2003,YES,0.575,28,56.24600447,-0.946989157,0.106454777
Bäen,2004,0.015,14,15.05,Bäen 2004,YES,0.575,26,56.24600447,-0.208912298,0.692282227
Bäen,2005,0.027,17.5,13.5,Bäen 2005,YES,0.575,25,56.24600447,-0.598022755,0.428478365
Bäen,2006,0.029,13.5,16.7,Bäen 2006,YES,0.575,29,56.24600447,-0.756823081,0.09011802
Bäen,2007,0.02,8.5,15.05,Bäen 2007,YES,0.575,18,56.24600447,-0.94363287,0.141538668
Bäen,2008,0.0195,21.5,15.35,Bäen 2008,YES,0.575,21,56.24600447,-1.203007167,0.070065085
Bäen,2009,0.0225,20.5,14.6,Bäen 2009,YES,0.575,28,56.24600447,-0.727451744,0.037023318
Bäen,2010,0.019666667,14.33333333,10.23333333,Bäen 2010,YES,0.575,23,56.24600447,-0.620522092,0.081360961
Bäen,2011,0.0295,12.5,8.55,Bäen 2011,YES,0.575,28,56.24600447,-0.60313387,0.18705241
Bäen,2012,0.021,16.5,14.85,Bäen 2012,YES,0.575,26,56.24600447,-0.939431449,-0.031724059
Bäen,2013,0.0285,13.5,16.05,Bäen 2013,YES,0.575,28,56.24600447,-0.897725747,0.095786102
Bäen,2014,0.0325,10.45,14.75,Bäen 2014,YES,0.575,24,56.24600447,-0.442527306,0.361344078
Bäen,2015,0.027666667,16.4,10.5,Bäen 2015,YES,0.575,26,56.24600447,-0.684291343,0.181575949
Bäen,2016,0.0275,11.95,13.25,Bäen 2016,YES,0.575,35,56.24600447,-1.279416424,0.052188955
Bäen,2017,0.0265,12.4,11.8,Bäen 2017,YES,0.575,21,56.24600447,-1.614050465,-0.124208625
Bästeträsk,1995,2.164,7.5,16.9,Bästeträsk 1995,YES,6.52,29,57.9156522,-1.030184645,-0.241920769
Bästeträsk,1996,2.103,6.5,16.25,Bästeträsk 1996,YES,6.52,35,57.9156522,0.991029148,-0.150001343
Bästeträsk,1997,2.032,4.5,12.35,Bästeträsk 1997,YES,6.52,29,57.9156522,0.103692892,-0.397056326
Bästeträsk,1998,1.888,9.5,14.1,Bästeträsk 1998,YES,6.52,24,57.9156522,-0.116060316,-0.349798527
Bästeträsk,1999,1.973,6,12.85,Bästeträsk 1999,YES,6.52,32,57.9156522,0.769664566,-0.272187188
Bästeträsk,2000,2.091,5.5,13.6,Bästeträsk 2000,YES,6.52,15,57.9156522,-0.375010095,-0.795305633
Bästeträsk,2001,2.088,4.5,15.9,Bästeträsk 2001,YES,6.52,28,57.9156522,0.728611697,-0.461855193
Bästeträsk,2002,1.948,5.5,14.3,Bästeträsk 2002,YES,6.52,23,57.9156522,0.42213407,-0.468141476
Bästeträsk,2003,1.9635,5,13.8,Bästeträsk 2003,YES,6.52,32,57.9156522,0.384364272,-0.21486989
Bästeträsk,2004,1.9285,6.5,14.6,Bästeträsk 2004,YES,6.52,31,57.9156522,0.735817435,-0.432547749
Bästeträsk,2005,1.943,7.5,16.25,Bästeträsk 2005,YES,6.52,32,57.9156522,0.951203245,-0.317348753
Bästeträsk,2006,1.94,8.5,13.25,Bästeträsk 2006,YES,6.52,29,57.9156522,0.906716884,0.018737467
Bästeträsk,2007,2.1085,3.5,10.35,Bästeträsk 2007,YES,6.52,37,57.9156522,0.836365243,-0.32351787
Bästeträsk,2008,2.059,7.5,19,Bästeträsk 2008,YES,6.52,25,57.9156522,0.925347089,-0.528542012
Bästeträsk,2009,2.1235,5,14.25,Bästeträsk 2009,YES,6.52,30,57.9156522,0.096277223,-0.379348716
Bästeträsk,2010,2.1445,6,15.85,Bästeträsk 2010,YES,6.52,29,57.9156522,0.577462242,-0.246585253
Bästeträsk,2011,2.056,5.5,13.35,Bästeträsk 2011,YES,6.52,39,57.9156522,0.628286256,0.019778319
Bästeträsk,2012,1.9835,5,11.2,Bästeträsk 2012,YES,6.52,26,57.9156522,-0.153619372,0.008344873
Bästeträsk,2013,2.057,5.5,15.3,Bästeträsk 2013,YES,6.52,18,57.9156522,0.321039344,-0.233522525
Bästeträsk,2014,2.01,3.75,14.45,Bästeträsk 2014,YES,6.52,22,57.9156522,0.991285436,-0.287974265
Bästeträsk,2015,2.025,6.4,14.25,Bästeträsk 2015,YES,6.52,19,57.9156522,0.217604506,-0.205471472
Bästeträsk,2016,1.9995,5,12.5,Bästeträsk 2016,YES,6.52,21,57.9156522,1.167166591,-0.626299119
Bästeträsk,2017,2.055,5.95,13,Bästeträsk 2017,YES,6.52,21,57.9156522,1.051926331,-0.46756884
Björken,1995,0.23,9,20.7,Björken 1995,YES,1.35,38,58.85615638,0.586394775,-0.336927488
Björken,1996,0.2295,7.5,14.5,Björken 1996,YES,1.35,36,58.85615638,1.134120049,0.127111278
Björken,1997,0.2395,9.5,14.85,Björken 1997,YES,1.35,41,58.85615638,0.366480268,-0.237710276
Björken,1998,0.231,5,13.95,Björken 1998,YES,1.35,37,58.85615638,0.489170809,-0.475141266
Björken,1999,0.2315,8,16.15,Björken 1999,YES,1.35,34,58.85615638,0.65743346,-0.410144086
Björken,2000,0.237,8.5,15.9,Björken 2000,YES,1.35,30,58.85615638,0.392759808,-0.791691543
Björken,2001,0.229,8,15.5,Björken 2001,YES,1.35,44,58.85615638,0.778010405,-0.728591963
Björken,2002,0.2345,7,17.4,Björken 2002,YES,1.35,46,58.85615638,0.731331201,-0.671878988
Björken,2003,0.2525,6.5,17.4,Björken 2003,YES,1.35,49,58.85615638,0.509649111,-0.714825472
Björken,2004,0.255,7,18.35,Björken 2004,YES,1.35,43,58.85615638,0.96591993,-0.543257723
Björken,2005,0.2535,8.5,16.25,Björken 2005,YES,1.35,48,58.85615638,0.739343104,-0.765359541
Björken,2006,0.263,7,17.55,Björken 2006,YES,1.35,47,58.85615638,0.62661727,-0.691322309
Björken,2007,0.2645,5,16,Björken 2007,YES,1.35,45,58.85615638,0.648483308,-0.755189065
Björken,2008,0.261,6.5,14.9,Björken 2008,YES,1.35,41,58.85615638,0.659148179,-0.659264875
Björken,2009,0.2635,9,14.15,Björken 2009,YES,1.35,48,58.85615638,0.565873507,-0.5318483
Björken,2010,0.2605,8.5,16.1,Björken 2010,YES,1.35,41,58.85615638,0.357995133,-0.515960629
Björken,2011,0.2625,8,16.55,Björken 2011,YES,1.35,43,58.85615638,0.393423463,-0.415668657
Björken,2012,0.256,8.5,16.5,Björken 2012,YES,1.35,43,58.85615638,0.487946266,-0.820442259
Björken,2013,0.264,8.5,15.9,Björken 2013,YES,1.35,50,58.85615638,0.829969045,-0.35329168
Björken,2014,0.2635,9.1,18.3,Björken 2014,YES,1.35,42,58.85615638,0.431423292,-0.400206252
Björken,2015,0.2535,9.35,16.6,Björken 2015,YES,1.35,49,58.85615638,0.251228478,-0.414185461
Björken,2016,0.2725,8.75,14.5,Björken 2016,YES,1.35,44,58.85615638,0.535787488,-0.402648427
Björken,2017,0.273,7.9,15.75,Björken 2017,YES,1.35,35,58.85615638,0.307140283,-0.266042051
Brunnsjön,1995,1.00E-04,18.44444444,10.67777778,Brunnsjön 1995,YES,0.11,29,56.59719383,-0.593369064,0.223910601
Brunnsjön,1996,0.024222222,15,9.111111111,Brunnsjön 1996,YES,0.11,19,56.59719383,-1.02458176,-0.308294846
Brunnsjön,1997,0.011,18.11111111,8.288888889,Brunnsjön 1997,YES,0.11,35,56.59719383,-0.971709012,-0.08867056
Brunnsjön,1998,0.016111111,17.55555556,9.122222222,Brunnsjön 1998,YES,0.11,33,56.59719383,-0.371925543,-0.088962395
Brunnsjön,1999,0.026333333,16.33333333,8.011111111,Brunnsjön 1999,YES,0.11,29,56.59719383,-0.683502374,-0.229201568
Brunnsjön,2000,0.012333333,13.22222222,8.855555556,Brunnsjön 2000,YES,0.11,32,56.59719383,-0.706330433,0.091854063
Brunnsjön,2001,1.00E-04,21.88888889,9.433333333,Brunnsjön 2001,YES,0.11,25,56.59719383,-0.284266569,-0.080964383
Brunnsjön,2002,0.007666667,14.88888889,7.911111111,Brunnsjön 2002,YES,0.11,26,56.59719383,-0.332154121,-0.57414825
Brunnsjön,2003,0.009,15.66666667,7.9,Brunnsjön 2003,YES,0.11,34,56.59719383,-0.449298093,-0.13793302
Brunnsjön,2004,1.00E-04,20.33333333,8.055555556,Brunnsjön 2004,YES,0.11,34,56.59719383,-0.567231824,-0.296457569
Brunnsjön,2005,0.007,32.88888889,7.933333333,Brunnsjön 2005,YES,0.11,41,56.59719383,-0.563079412,-0.412523007
Brunnsjön,2006,0.013,26.22222222,8.288888889,Brunnsjön 2006,YES,0.11,29,56.59719383,-0.404040013,-0.432904046
Brunnsjön,2007,1.00E-04,10.22222222,8.888888889,Brunnsjön 2007,YES,0.11,33,56.59719383,-0.294841075,-0.653970169
Brunnsjön,2008,0.014333333,12.66666667,9.733333333,Brunnsjön 2008,YES,0.11,30,56.59719383,-0.54463928,-0.23792137
Brunnsjön,2009,0.018666667,17.77777778,10.04166667,Brunnsjön 2009,YES,0.11,37,56.59719383,-0.298144624,-0.442625453
Brunnsjön,2010,0.022333333,19.11111111,9.975,Brunnsjön 2010,YES,0.11,27,56.59719383,-0.085775541,-0.909884422
Brunnsjön,2011,1.00E-04,24.22222222,9.788888889,Brunnsjön 2011,YES,0.11,22,56.59719383,-0.358698554,-0.759955399
Brunnsjön,2012,0.02025,17.7,10.13076923,Brunnsjön 2012,YES,0.11,37,56.59719383,-0.320267529,-0.36372625
Brunnsjön,2013,0.026,24.55555556,8.555555556,Brunnsjön 2013,YES,0.11,25,56.59719383,-0.265948073,0.141670725
Brunnsjön,2014,0.019333333,15.21111111,9.922222222,Brunnsjön 2014,YES,0.11,23,56.59719383,-0.666718455,-0.112050455
Brunnsjön,2015,0.019,21.13333333,9.722222222,Brunnsjön 2015,YES,0.11,27,56.59719383,-0.413549689,-0.431380759
Brunnsjön,2016,0.029,13.38888889,9.755555556,Brunnsjön 2016,YES,0.11,33,56.59719383,-1.06015126,-0.253171998
Brunnsjön,2017,0.026666667,12.66666667,10.54444444,Brunnsjön 2017,YES,0.11,39,56.59719383,-0.560007198,-0.617193239
Bysjön,1995,0.115666667,11,16.5,Bysjön 1995,YES,1.18,18,59.30237029,0.829302499,-0.190706619
Bysjön,1996,0.102,7.333333333,13.36666667,Bysjön 1996,YES,1.18,32,59.30237029,-0.145010595,-0.049139445
Bysjön,1997,0.104333333,9.666666667,14.06666667,Bysjön 1997,YES,1.18,33,59.30237029,0.273305601,-0.113496006
Bysjön,1998,0.107333333,9,12.26666667,Bysjön 1998,YES,1.18,24,59.30237029,1.245615783,-0.357561344
Bysjön,1999,0.103,8,11.6,Bysjön 1999,YES,1.18,20,59.30237029,0.757156865,-0.314426336
Bysjön,2000,0.121333333,18.33333333,12.86666667,Bysjön 2000,YES,1.18,21,59.30237029,1.283116998,-0.426780968
Bysjön,2001,0.089666667,10,13.66666667,Bysjön 2001,YES,1.18,27,59.30237029,1.149588662,-0.198276721
Bysjön,2002,0.108333333,12.66666667,13.03333333,Bysjön 2002,YES,1.18,17,59.30237029,1.231651506,-0.256069213
Bysjön,2003,0.117666667,9.666666667,11.96666667,Bysjön 2003,YES,1.18,23,59.30237029,0.417633318,0.51046626
Bysjön,2004,0.116,12.66666667,13.06666667,Bysjön 2004,YES,1.18,23,59.30237029,1.062244867,-0.084452067
Bysjön,2005,0.149666667,15,11.06666667,Bysjön 2005,YES,1.18,26,59.30237029,1.140664973,-0.296085562
Bysjön,2006,0.118666667,12.33333333,13.83333333,Bysjön 2006,YES,1.18,19,59.30237029,0.747179885,-0.080512793
Bysjön,2007,0.113333333,9,12.33333333,Bysjön 2007,YES,1.18,19,59.30237029,1.136411449,-0.269381106
Bysjön,2008,0.111,11,11.93333333,Bysjön 2008,YES,1.18,19,59.30237029,0.3752805,-0.259940178
Bysjön,2009,0.112333333,13.33333333,12.33333333,Bysjön 2009,YES,1.18,23,59.30237029,0.863309071,-0.187105037
Bysjön,2010,0.10475,13.5,8.55,Bysjön 2010,YES,1.18,20,59.30237029,0.295606558,-0.232696045
Bysjön,2011,0.113,16,11.96666667,Bysjön 2011,YES,1.18,25,59.30237029,0.331472269,0.249237031
Bysjön,2012,0.118333333,14.33333333,12.16666667,Bysjön 2012,YES,1.18,15,59.30237029,0.614243981,0.055081345
Bysjön,2013,0.1155,12.5,14.45,Bysjön 2013,YES,1.18,34,59.30237029,0.186047126,0.159179287
Bysjön,2014,0.105,13.55,15.3,Bysjön 2014,YES,1.18,14,59.30237029,0.60461317,0.275430263
Bysjön,2015,0.099,11.2,15.5,Bysjön 2015,YES,1.18,20,59.30237029,0.823755927,0.124321
Bysjön,2016,0.107,10.7,9.333333333,Bysjön 2016,YES,1.18,21,59.30237029,1.036574533,-0.383289253
Bysjön,2017,0.114,7.8,14.9,Bysjön 2017,YES,1.18,26,59.30237029,0.275847136,-0.202218339
Djupa Holmsjön,1995,0.029,7,20.6,Djupa Holmsjön 1995,YES,0.141,31,59.17915213,-0.299077829,-0.863979114
Djupa Holmsjön,1996,0.0305,7,14.3,Djupa Holmsjön 1996,YES,0.141,36,59.17915213,-0.010544145,-0.600193606
Djupa Holmsjön,1997,0.029,7,14.75,Djupa Holmsjön 1997,YES,0.141,31,59.17915213,-0.32948177,0.115423127
Djupa Holmsjön,1998,0.027,6,5.2,Djupa Holmsjön 1998,YES,0.141,35,59.17915213,0.256399779,-0.405042351
Djupa Holmsjön,1999,0.0345,12,15.05,Djupa Holmsjön 1999,YES,0.141,34,59.17915213,0.257972513,-0.353328954
Djupa Holmsjön,2000,0.0245,7.5,16,Djupa Holmsjön 2000,YES,0.141,28,59.17915213,0.417908338,-0.160856473
Djupa Holmsjön,2001,0.0235,8,14.9,Djupa Holmsjön 2001,YES,0.141,47,59.17915213,0.386094604,-0.434583998
Djupa Holmsjön,2002,0.024,7,15.75,Djupa Holmsjön 2002,YES,0.141,34,59.17915213,0.480220287,0.051464548
Djupa Holmsjön,2003,0.035,6,16.05,Djupa Holmsjön 2003,YES,0.141,44,59.17915213,0.441403327,0.221680142
Djupa Holmsjön,2004,0.036,8,19.25,Djupa Holmsjön 2004,YES,0.141,38,59.17915213,0.303580755,0.162287147
Djupa Holmsjön,2005,0.0365,8,12.6,Djupa Holmsjön 2005,YES,0.141,37,59.17915213,-0.09416063,-0.002962368
Djupa Holmsjön,2006,0.0425,7,16.55,Djupa Holmsjön 2006,YES,0.141,42,59.17915213,0.473642554,0.020697102
Djupa Holmsjön,2007,0.044,4.5,15.65,Djupa Holmsjön 2007,YES,0.141,41,59.17915213,0.468572856,0.018062877
Djupa Holmsjön,2008,0.0325,6,14.55,Djupa Holmsjön 2008,YES,0.141,38,59.17915213,0.271891018,0.415852751
Djupa Holmsjön,2009,0.036,8,12.85,Djupa Holmsjön 2009,YES,0.141,36,59.17915213,0.623458425,-0.097962053
Djupa Holmsjön,2010,0.0335,10,15.35,Djupa Holmsjön 2010,YES,0.141,38,59.17915213,-0.116572089,-0.375064088
Djupa Holmsjön,2011,0.043,9.5,15.1,Djupa Holmsjön 2011,YES,0.141,33,59.17915213,-0.257751289,0.226980263
Djupa Holmsjön,2012,0.0375,10.5,15.55,Djupa Holmsjön 2012,YES,0.141,45,59.17915213,0.33972437,-0.258093044
Djupa Holmsjön,2013,0.0455,8,15.05,Djupa Holmsjön 2013,YES,0.141,26,59.17915213,0.219482973,0.459820604
Djupa Holmsjön,2014,0.0465,7.35,17.5,Djupa Holmsjön 2014,YES,0.141,33,59.17915213,0.743251029,0.271515789
Djupa Holmsjön,2015,0.0395,7.95,16.4,Djupa Holmsjön 2015,YES,0.141,36,59.17915213,0.402607952,-0.024169097
Djupa Holmsjön,2016,0.0515,8.25,13.4,Djupa Holmsjön 2016,YES,0.141,35,59.17915213,0.522479421,-0.168276801
Djupa Holmsjön,2017,0.0535,7.15,15,Djupa Holmsjön 2017,YES,0.141,36,59.17915213,0.670017741,0.185226129
Edasjön,1996,0.8705,16,14.65,Edasjön 1996,YES,0.1867,27,59.80562908,0.549944016,-0.298275946
Edasjön,1997,0.8655,14,12.65,Edasjön 1997,YES,0.1867,28,59.80562908,1.298002164,-0.310971677
Edasjön,1998,1.113,23.5,13.4,Edasjön 1998,YES,0.1867,35,59.80562908,1.279014259,-0.216197078
Edasjön,1999,1.014,37,14.6,Edasjön 1999,YES,0.1867,35,59.80562908,0.870633596,-0.166614345
Edasjön,2000,0.9565,39.5,13.7,Edasjön 2000,YES,0.1867,33,59.80562908,0.936532267,-0.017101428
