SUBPROG,AREA,INST,SCODE,MEDIUM,LISTMED,SIZE,YYYYMM,SPOOL,PFLAG,SPECIES,LISTSPE,CLASS,PARAM,PARLIST,VALUE,UNIT,FLAGQUA,FLAGSTA,TREE,source_datafile ,Comment
VS,DE01,GR,1,SPICBAZ,DE,,200007,1,,SORB AUC,B4,,COVE_F,IM,2,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,1,SPICBAZ,DE,,200007,1,,VACC MYR,B4,,COVE_F,IM,17.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,1,SPICBAZ,DE,,200007,1,,VERO OFF,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,1,SPICBAZ,DE,,200007,1,,BAZZ TRL,M2,,COVE_B,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,1,SPICBAZ,DE,,200007,1,,DICR DEN,M2,,COVE_B,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,1,SPICBAZ,DE,,200007,1,,DICR SCP,M2,,COVE_B,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,1,SPICBAZ,DE,,200007,1,,HYLO SPL,M2,,COVE_B,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,1,SPICBAZ,DE,,200007,1,,HYPN CUP,M2,,COVE_B,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,1,SPICBAZ,DE,,200007,1,,PLAG ASP,M2,,COVE_B,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,1,SPICBAZ,DE,,200007,1,,PLAGIOTZ,M2,,COVE_B,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,1,SPICBAZ,DE,,200007,1,,PLEU SCH,M2,,COVE_B,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,1,SPICBAZ,DE,,200007,1,,POLY FOR,M2,,COVE_B,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,1,SPICBAZ,DE,,200007,1,,PTIL CRI,M2,,COVE_B,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,1,SPICBAZ,DE,,200007,1,,RHYT LOR,M2,,COVE_B,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,1,SPICBAZ,DE,,200007,1,,RHYT SQU,M2,,COVE_B,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,1,SPICBAZ,DE,,200007,1,,SPHA GIR,M2,,COVE_B,IM,2,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,2,LUZFAG,DE,,200007,1,,ABIE ALB,B4,,COVE_T2,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,2,LUZFAG,DE,,200007,1,,FAGU SYL,B4,,COVE_T2,IM,2,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,2,LUZFAG,DE,,200007,1,,PICE ABI,B4,,COVE_T2,IM,17.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,2,LUZFAG,DE,,200007,1,,SORB AUC,B4,,COVE_T2,IM,17.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,2,LUZFAG,DE,,200007,1,,FAGU SYL,B4,,COVE_T1,IM,37.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,2,LUZFAG,DE,,200007,1,,PICE ABI,B4,,COVE_T1,IM,17.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,2,LUZFAG,DE,,200007,1,,ABIE ALB,B4,,COVE_S,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,2,LUZFAG,DE,,200007,1,,PICE ABI,B4,,COVE_S,IM,2,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,2,LUZFAG,DE,,200007,1,,ATHY FIL,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,2,LUZFAG,DE,,200007,1,,CALA VIL,BX_IT,,COVE_F,IM,2,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,2,LUZFAG,DE,,200007,1,,DRYO CAR,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,2,LUZFAG,DE,,200007,1,,FAGU SYL,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,2,LUZFAG,DE,,200007,1,,GYMN DRY,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,2,LUZFAG,DE,,200007,1,,LYCO ANN,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,2,LUZFAG,DE,,200007,1,,MAJA BIF,B4,,COVE_F,IM,2,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,2,LUZFAG,DE,,200007,1,,OXAL ACE,B4,,COVE_F,IM,2,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,2,LUZFAG,DE,,200007,1,,PARI QUA,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,2,LUZFAG,DE,,200007,1,,PICE ABI,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,2,LUZFAG,DE,,200007,1,,RUBU IDA,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,2,LUZFAG,DE,,200007,1,,SORB AUC,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,2,LUZFAG,DE,,200007,1,,VACC MYR,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,2,LUZFAG,DE,,200007,1,,DICR SCP,M2,,COVE_B,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,2,LUZFAG,DE,,200007,1,,HERZ SEL,M2,,COVE_B,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,2,LUZFAG,DE,,200007,1,,HYPN CUP,M2,,COVE_B,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,2,LUZFAG,DE,,200007,1,,LEPI REP,M2,,COVE_B,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,2,LUZFAG,DE,,200007,1,,PLAG ASP,M2,,COVE_B,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,2,LUZFAG,DE,,200007,1,,POLY FOR,M2,,COVE_B,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,3,SPICBAZ,DE,,200007,1,,PICE ABI,B4,,COVE_T2,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,3,SPICBAZ,DE,,200007,1,,PICE ABI,B4,,COVE_T1,IM,62.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,3,SPICBAZ,DE,,200007,1,,PICE ABI,B4,,COVE_S,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,3,SPICBAZ,DE,,200007,1,,ABIE ALB,B4,,COVE_F,IM,0.1,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,3,SPICBAZ,DE,,200007,1,,ATHY FIL,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,3,SPICBAZ,DE,,200007,1,,CALA VIL,BX_IT,,COVE_F,IM,17.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,3,SPICBAZ,DE,,200007,1,,CIRC ALP,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,3,SPICBAZ,DE,,200007,1,,DRYO CAR,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,3,SPICBAZ,DE,,200007,1,,DRYO DIL,B4,,COVE_F,IM,17.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,3,SPICBAZ,DE,,200007,1,,EQUI SYL,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,3,SPICBAZ,DE,,200007,1,,FAGU SYL,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,3,SPICBAZ,DE,,200007,1,,IMPA NOL,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,3,SPICBAZ,DE,,200007,1,,LUZU SYL,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,3,SPICBAZ,DE,,200007,1,,LYCO ANN,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,3,SPICBAZ,DE,,200007,1,,MAJA BIF,B4,,COVE_F,IM,2,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,3,SPICBAZ,DE,,200007,1,,OXAL ACE,B4,,COVE_F,IM,17.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,3,SPICBAZ,DE,,200007,1,,PICE ABI,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,3,SPICBAZ,DE,,200007,1,,RUBU IDA,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,3,SPICBAZ,DE,,200007,1,,SOLD MON,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,3,SPICBAZ,DE,,200007,1,,SORB AUC,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,3,SPICBAZ,DE,,200007,1,,TRIE EUR,B4,,COVE_F,IM,2,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,3,SPICBAZ,DE,,200007,1,,VACC MYR,B4,,COVE_F,IM,17.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,3,SPICBAZ,DE,,200007,1,,BAZZ TRL,M2,,COVE_B,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,3,SPICBAZ,DE,,200007,1,,CALY MUE,M2,,COVE_B,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,3,SPICBAZ,DE,,200007,1,,DICR DEN,M2,,COVE_B,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,3,SPICBAZ,DE,,200007,1,,DICR SCP,M2,,COVE_B,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,3,SPICBAZ,DE,,200007,1,,HYPN CUP,M2,,COVE_B,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,3,SPICBAZ,DE,,200007,1,,MNIU HOR,M2,,COVE_B,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,3,SPICBAZ,DE,,200007,1,,PLAG ASP,M2,,COVE_B,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,3,SPICBAZ,DE,,200007,1,,PLAGIOTZ,M2,,COVE_B,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,3,SPICBAZ,DE,,200007,1,,POLY COM,M2,,COVE_B,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,3,SPICBAZ,DE,,200007,1,,POLY FOR,M2,,COVE_B,IM,2,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,3,SPICBAZ,DE,,200007,1,,SPHA GIR,M2,,COVE_B,IM,10,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,3,SPICBAZ,DE,,200007,1,,SPHA PAL,M2,,COVE_B,IM,2,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,3,SPICBAZ,DE,,200007,1,,THUI TAM,M2,,COVE_B,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,4,SPICBAZ,DE,,200007,1,,PICE ABI,B4,,COVE_T2,IM,2,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,4,SPICBAZ,DE,,200007,1,,FAGU SYL,B4,,COVE_T1,IM,2,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,4,SPICBAZ,DE,,200007,1,,PICE ABI,B4,,COVE_T1,IM,62.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,4,SPICBAZ,DE,,200007,1,,SORB AUC,B4,,COVE_T1,IM,17.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,4,SPICBAZ,DE,,200007,1,,ABIE ALB,B4,,COVE_S,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,4,SPICBAZ,DE,,200007,1,,FAGU SYL,B4,,COVE_S,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,4,SPICBAZ,DE,,200007,1,,PICE ABI,B4,,COVE_S,IM,2,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,4,SPICBAZ,DE,,200007,1,,SORB AUC,B4,,COVE_S,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,4,SPICBAZ,DE,,200007,1,,ATHY FIL,B4,,COVE_F,IM,0.1,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,4,SPICBAZ,DE,,200007,1,,C ECHINA,B4,,COVE_F,IM,0.1,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,4,SPICBAZ,DE,,200007,1,,C PILULI,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,4,SPICBAZ,DE,,200007,1,,CALA VIL,BX_IT,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,4,SPICBAZ,DE,,200007,1,,CIRC ALP,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,4,SPICBAZ,DE,,200007,1,,DESC FLE,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,4,SPICBAZ,DE,,200007,1,,DRYO CAR,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,4,SPICBAZ,DE,,200007,1,,DRYO DIL,B4,,COVE_F,IM,17.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,4,SPICBAZ,DE,,200007,1,,EQUI SYL,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,4,SPICBAZ,DE,,200007,1,,FAGU SYL,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,4,SPICBAZ,DE,,200007,1,,HIER MUR,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,4,SPICBAZ,DE,,200007,1,,HOMO ALP,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,4,SPICBAZ,DE,,200007,1,,LUZU SYL,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,4,SPICBAZ,DE,,200007,1,,LYCO ANN,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,4,SPICBAZ,DE,,200007,1,,MAJA BIF,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,4,SPICBAZ,DE,,200007,1,,MELA SYL,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,4,SPICBAZ,DE,,200007,1,,OXAL ACE,B4,,COVE_F,IM,2,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,4,SPICBAZ,DE,,200007,1,,PICE ABI,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,4,SPICBAZ,DE,,200007,1,,PREN PUR,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,4,SPICBAZ,DE,,200007,1,,RUBU IDA,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,4,SPICBAZ,DE,,200007,1,,SORB AUC,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,4,SPICBAZ,DE,,200007,1,,THEL PHE,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,4,SPICBAZ,DE,,200007,1,,VACC MYR,B4,,COVE_F,IM,2,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,4,SPICBAZ,DE,,200007,1,,VERO OFF,B4,,COVE_F,IM,0.1,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,4,SPICBAZ,DE,,200007,1,,BAZZ TRL,M2,,COVE_B,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,4,SPICBAZ,DE,,200007,1,,CALY MUE,M2,,COVE_B,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,4,SPICBAZ,DE,,200007,1,,DICR DEN,M2,,COVE_B,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,4,SPICBAZ,DE,,200007,1,,DICR SCP,M2,,COVE_B,IM,2,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,4,SPICBAZ,DE,,200007,1,,HYLO SPL,M2,,COVE_B,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,4,SPICBAZ,DE,,200007,1,,HYPN CUP,M2,,COVE_B,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,4,SPICBAZ,DE,,200007,1,,LEPI REP,M2,,COVE_B,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,4,SPICBAZ,DE,,200007,1,,PLAG ASP,M2,,COVE_B,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,4,SPICBAZ,DE,,200007,1,,PLEU SCH,M2,,COVE_B,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,4,SPICBAZ,DE,,200007,1,,POLY COM,M2,,COVE_B,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,4,SPICBAZ,DE,,200007,1,,POLY FOR,M2,,COVE_B,IM,2,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,4,SPICBAZ,DE,,200007,1,,SPHA GIR,M2,,COVE_B,IM,17.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,4,SPICBAZ,DE,,200007,1,,SPHA PAL,M2,,COVE_B,IM,2,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,4,SPICBAZ,DE,,200007,1,,SPHA SQU,M2,,COVE_B,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,4,SPICBAZ,DE,,200007,1,,THUI TAM,M2,,COVE_B,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,5,SPICBAZ,DE,,200007,1,,FAGU SYL,B4,,COVE_T2,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,5,SPICBAZ,DE,,200007,1,,PICE ABI,B4,,COVE_T1,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,5,SPICBAZ,DE,,200007,1,,FAGU SYL,B4,,COVE_S,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,5,SPICBAZ,DE,,200007,1,,PICE ABI,B4,,COVE_S,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,5,SPICBAZ,DE,,200007,1,,SORB AUC,B4,,COVE_S,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,5,SPICBAZ,DE,,200007,1,,ABIE ALB,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,5,SPICBAZ,DE,,200007,1,,BETU PUB,B4,,COVE_F,IM,0.1,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,5,SPICBAZ,DE,,200007,1,,C PILULI,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,5,SPICBAZ,DE,,200007,1,,CALA VIL,BX_IT,,COVE_F,IM,17.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,5,SPICBAZ,DE,,200007,1,,DESC FLE,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,5,SPICBAZ,DE,,200007,1,,DRYO CAR,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,5,SPICBAZ,DE,,200007,1,,EPIL ANG,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,5,SPICBAZ,DE,,200007,1,,FAGU SYL,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,5,SPICBAZ,DE,,200007,1,,GALE TET,B4,,COVE_F,IM,0.1,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,5,SPICBAZ,DE,,200007,1,,LYCO ANN,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,5,SPICBAZ,DE,,200007,1,,MAJA BIF,B4,,COVE_F,IM,2,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,5,SPICBAZ,DE,,200007,1,,OXAL ACE,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,5,SPICBAZ,DE,,200007,1,,PICE ABI,B4,,COVE_F,IM,2,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,5,SPICBAZ,DE,,200007,1,,RUBU IDA,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,5,SPICBAZ,DE,,200007,1,,SENE FUC,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,5,SPICBAZ,DE,,200007,1,,SORB AUC,B4,,COVE_F,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,5,SPICBAZ,DE,,200007,1,,T/OFFICI,B4,,COVE_F,IM,0.1,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,5,SPICBAZ,DE,,200007,1,,VACC MYR,B4,,COVE_F,IM,37.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,5,SPICBAZ,DE,,200007,1,,DICR SCP,M2,,COVE_B,IM,2,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,5,SPICBAZ,DE,,200007,1,,HERZ SEL,M2,,COVE_B,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,5,SPICBAZ,DE,,200007,1,,ORTH MON,M2,,COVE_B,IM,0.5,%,,,,DE_VS2000 EDC re-reported.xls,
VS,DE01,GR,5,SPICBAZ,DE,,200007,1,,POLY FOR,M2,,COVE_B,IM,2,%,,,,DE_VS2000 EDC re-reported.xls,
