Subprog,Area,Inst,StationCode,Species,ListSpecies,level,YYYYMM,Spool,Param,ParamList,value,QualityFlag,StatusFlag,Unit,Method,parloc,SampleNumber,SpeciesName,ParamName
VG,DE01,GR,51,VACC MYR,B4,NULL,199507,16,FREQ_   ,IM,94,NULL,NULL,%         ,NULL,280,385,VACCINIUM MYRTILLUS                                     ,FREQUENCY OF SPECIES F+B LAYER
VG,DE01,GR,51,VACC MYR,B4,NULL,199507,16,COVE_F  ,IM,9.2,NULL,NULL,%         ,NULL,321,385,VACCINIUM MYRTILLUS                                     ,COVER. OF SPECIES/FIELD LAYER 
VG,DE01,GR,51,HYPN CUP,M2,NULL,199507,16,FERT_   ,IM,50,NULL,NULL,%         ,NULL,279,385,HYPNUM CUPRESSIFORME  HEDW.                             ,FERTILITY OF SPECIES F+B LAYER
VG,DE01,GR,51,HYPN CUP,M2,NULL,199507,16,FREQ_   ,IM,94,NULL,NULL,%         ,NULL,280,385,HYPNUM CUPRESSIFORME  HEDW.                             ,FREQUENCY OF SPECIES F+B LAYER
VG,DE01,GR,51,HYPN CUP,M2,NULL,199507,16,COVE_B  ,IM,1.2,NULL,NULL,%         ,NULL,322,385,HYPNUM CUPRESSIFORME  HEDW.                             ,COVER. OF SPECIES/BOTTOM LAYER
VG,DE01,GR,51,LOPH HEP,M2,NULL,199507,16,FERT_   ,IM,6,NULL,NULL,%         ,NULL,279,385,LOPHOCOLEA HETEROPHYLLA (SCHRAD.) DUM.                  ,FERTILITY OF SPECIES F+B LAYER
VG,DE01,GR,51,LOPH HEP,M2,NULL,199507,16,FREQ_   ,IM,94,NULL,NULL,%         ,NULL,280,385,LOPHOCOLEA HETEROPHYLLA (SCHRAD.) DUM.                  ,FREQUENCY OF SPECIES F+B LAYER
VG,DE01,GR,51,LOPH HEP,M2,NULL,199507,16,COVE_B  ,IM,0.3,NULL,NULL,%         ,NULL,322,385,LOPHOCOLEA HETEROPHYLLA (SCHRAD.) DUM.                  ,COVER. OF SPECIES/BOTTOM LAYER
VG,DE01,GR,51,PICE ABI,B4,NULL,199507,16,FERT_   ,IM,0,NULL,NULL,%         ,NULL,279,385,PICEA ABIES                                             ,FERTILITY OF SPECIES F+B LAYER
VG,DE01,GR,51,PICE ABI,B4,NULL,199507,16,FREQ_   ,IM,100,NULL,NULL,%         ,NULL,280,385,PICEA ABIES                                             ,FREQUENCY OF SPECIES F+B LAYER
VG,DE01,GR,51,PICE ABI,B4,NULL,199507,16,COVE_F  ,IM,3.3,NULL,NULL,%         ,NULL,321,385,PICEA ABIES                                             ,COVER. OF SPECIES/FIELD LAYER 
VG,DE01,GR,51,PTIL PUL,M2,NULL,199507,16,FERT_   ,IM,0,NULL,NULL,%         ,NULL,279,385,PTILIDIUM PULCHERRIMUM (G.WEB.) VAINIO                  ,FERTILITY OF SPECIES F+B LAYER
VG,DE01,GR,51,PTIL PUL,M2,NULL,199507,16,FREQ_   ,IM,13,NULL,NULL,%         ,NULL,280,385,PTILIDIUM PULCHERRIMUM (G.WEB.) VAINIO                  ,FREQUENCY OF SPECIES F+B LAYER
VG,DE01,GR,51,PTIL PUL,M2,NULL,199507,16,COVE_B  ,IM,0.1,NULL,NULL,%         ,NULL,322,385,PTILIDIUM PULCHERRIMUM (G.WEB.) VAINIO                  ,COVER. OF SPECIES/BOTTOM LAYER
VG,DE01,GR,51,DICR DEN,M2,NULL,199507,16,FERT_   ,IM,0,NULL,NULL,%         ,NULL,279,385,DICRANODONTIUM DENUDATUM (BRID.) BRITT.                 ,FERTILITY OF SPECIES F+B LAYER
VG,DE01,GR,51,DICR DEN,M2,NULL,199507,16,FREQ_   ,IM,56,NULL,NULL,%         ,NULL,280,385,DICRANODONTIUM DENUDATUM (BRID.) BRITT.                 ,FREQUENCY OF SPECIES F+B LAYER
VG,DE01,GR,51,DICR DEN,M2,NULL,199507,16,COVE_B  ,IM,0.2,NULL,NULL,%         ,NULL,322,385,DICRANODONTIUM DENUDATUM (BRID.) BRITT.                 ,COVER. OF SPECIES/BOTTOM LAYER
VG,DE01,GR,51,DICR FUS,M2,NULL,199507,16,FERT_   ,IM,13,NULL,NULL,%         ,NULL,279,385,DICRANUM FUSCESCENS  SM.                                ,FERTILITY OF SPECIES F+B LAYER
VG,DE01,GR,51,DICR FUS,M2,NULL,199507,16,FREQ_   ,IM,19,NULL,NULL,%         ,NULL,280,385,DICRANUM FUSCESCENS  SM.                                ,FREQUENCY OF SPECIES F+B LAYER
VG,DE01,GR,51,DICR FUS,M2,NULL,199507,16,COVE_B  ,IM,0.1,NULL,NULL,%         ,NULL,322,385,DICRANUM FUSCESCENS  SM.                                ,COVER. OF SPECIES/BOTTOM LAYER
VG,DE01,GR,51,DICR SCP,M2,NULL,199507,16,COVE_B  ,IM,25.1,NULL,NULL,%         ,NULL,322,385,DICRANUM SCOPARIUM  HEDW.                               ,COVER. OF SPECIES/BOTTOM LAYER
VG,DE01,GR,51,DICR SCP,M2,NULL,199507,16,FERT_   ,IM,31,NULL,NULL,%         ,NULL,279,385,DICRANUM SCOPARIUM  HEDW.                               ,FERTILITY OF SPECIES F+B LAYER
VG,DE01,GR,51,DICR SCP,M2,NULL,199507,16,FREQ_   ,IM,100,NULL,NULL,%         ,NULL,280,385,DICRANUM SCOPARIUM  HEDW.                               ,FREQUENCY OF SPECIES F+B LAYER
VG,DE01,GR,51,LEPI REP,M2,NULL,199507,16,FERT_   ,IM,19,NULL,NULL,%         ,NULL,279,385,LEPIDOZIA REPTANS  SPRUCE                               ,FERTILITY OF SPECIES F+B LAYER
VG,DE01,GR,51,LEPI REP,M2,NULL,199507,16,FREQ_   ,IM,38,NULL,NULL,%         ,NULL,280,385,LEPIDOZIA REPTANS  SPRUCE                               ,FREQUENCY OF SPECIES F+B LAYER
VG,DE01,GR,51,LEPI REP,M2,NULL,199507,16,COVE_B  ,IM,0.1,NULL,NULL,%         ,NULL,322,385,LEPIDOZIA REPTANS  SPRUCE                               ,COVER. OF SPECIES/BOTTOM LAYER
VG,DE01,GR,51,ORTH MON,M2,NULL,199507,16,FERT_   ,IM,6,NULL,NULL,%         ,NULL,279,385,ORTHODICRANUM MONTANUM (HEDW.) LOESKE                   ,FERTILITY OF SPECIES F+B LAYER
VG,DE01,GR,51,ORTH MON,M2,NULL,199507,16,FREQ_   ,IM,56,NULL,NULL,%         ,NULL,280,385,ORTHODICRANUM MONTANUM (HEDW.) LOESKE                   ,FREQUENCY OF SPECIES F+B LAYER
VG,DE01,GR,51,ORTH MON,M2,NULL,199507,16,COVE_B  ,IM,0.3,NULL,NULL,%         ,NULL,322,385,ORTHODICRANUM MONTANUM (HEDW.) LOESKE                   ,COVER. OF SPECIES/BOTTOM LAYER
VG,DE01,GR,51,PARA LON,M2,NULL,199507,16,FERT_   ,IM,0,NULL,NULL,%         ,NULL,279,385,PARALEUCOBRYUM LONGIFOLIUM (HEDW.) LOESKE               ,FERTILITY OF SPECIES F+B LAYER
VG,DE01,GR,51,PARA LON,M2,NULL,199507,16,FREQ_   ,IM,6,NULL,NULL,%         ,NULL,280,385,PARALEUCOBRYUM LONGIFOLIUM (HEDW.) LOESKE               ,FREQUENCY OF SPECIES F+B LAYER
VG,DE01,GR,51,PARA LON,M2,NULL,199507,16,COVE_B  ,IM,0.1,NULL,NULL,%         ,NULL,322,385,PARALEUCOBRYUM LONGIFOLIUM (HEDW.) LOESKE               ,COVER. OF SPECIES/BOTTOM LAYER
VG,DE01,GR,51,PLAG CUR,M2,NULL,199507,16,FERT_   ,IM,19,NULL,NULL,%         ,NULL,279,385,PLAGIOTHECIUM CURVIFOLIUM  SCHLIEPH. EX LIMPR.          ,FERTILITY OF SPECIES F+B LAYER
VG,DE01,GR,51,PLAG CUR,M2,NULL,199507,16,FREQ_   ,IM,94,NULL,NULL,%         ,NULL,280,385,PLAGIOTHECIUM CURVIFOLIUM  SCHLIEPH. EX LIMPR.          ,FREQUENCY OF SPECIES F+B LAYER
VG,DE01,GR,51,PLAG CUR,M2,NULL,199507,16,COVE_B  ,IM,0.3,NULL,NULL,%         ,NULL,322,385,PLAGIOTHECIUM CURVIFOLIUM  SCHLIEPH. EX LIMPR.          ,COVER. OF SPECIES/BOTTOM LAYER
VG,DE01,GR,51,POLY FOR,M2,NULL,199507,16,FERT_   ,IM,50,NULL,NULL,%         ,NULL,279,385,POLYTRICHUM FORMOSUM  HEDW.                             ,FERTILITY OF SPECIES F+B LAYER
VG,DE01,GR,51,POLY FOR,M2,NULL,199507,16,FREQ_   ,IM,63,NULL,NULL,%         ,NULL,280,385,POLYTRICHUM FORMOSUM  HEDW.                             ,FREQUENCY OF SPECIES F+B LAYER
VG,DE01,GR,51,POLY FOR,M2,NULL,199507,16,COVE_B  ,IM,3.1,NULL,NULL,%         ,NULL,322,385,POLYTRICHUM FORMOSUM  HEDW.                             ,COVER. OF SPECIES/BOTTOM LAYER
VG,DE01,GR,51,PTIL CIL,M2,NULL,199507,16,FERT_   ,IM,0,NULL,NULL,%         ,NULL,279,385,PTILIDIUM CILIARE (L.) HAMPE                            ,FERTILITY OF SPECIES F+B LAYER
VG,DE01,GR,51,PTIL CIL,M2,NULL,199507,16,FREQ_   ,IM,6,NULL,NULL,%         ,NULL,280,385,PTILIDIUM CILIARE (L.) HAMPE                            ,FREQUENCY OF SPECIES F+B LAYER
VG,DE01,GR,51,PTIL CIL,M2,NULL,199507,16,COVE_B  ,IM,0.1,NULL,NULL,%         ,NULL,322,385,PTILIDIUM CILIARE (L.) HAMPE                            ,COVER. OF SPECIES/BOTTOM LAYER
VG,DE01,GR,51,TETR PEL,M2,NULL,199507,16,FERT_   ,IM,25,NULL,NULL,%         ,NULL,279,385,TETRAPHIS PELLUCIDA  HEDW.                              ,FERTILITY OF SPECIES F+B LAYER
VG,DE01,GR,51,TETR PEL,M2,NULL,199507,16,FREQ_   ,IM,44,NULL,NULL,%         ,NULL,280,385,TETRAPHIS PELLUCIDA  HEDW.                              ,FREQUENCY OF SPECIES F+B LAYER
VG,DE01,GR,51,TETR PEL,M2,NULL,199507,16,COVE_B  ,IM,0.1,NULL,NULL,%         ,NULL,322,385,TETRAPHIS PELLUCIDA  HEDW.                              ,COVER. OF SPECIES/BOTTOM LAYER
VG,DE01,GR,51,NULL,NULL,NULL,199507,16,COVE_F  ,IM,15.9,NULL,NULL,%         ,NULL,321,385,NULL,COVER. OF SPECIES/FIELD LAYER 
VG,DE01,GR,51,NULL,NULL,NULL,199507,16,COVE_B  ,IM,30.8,NULL,NULL,%         ,NULL,322,385,NULL,COVER. OF SPECIES/BOTTOM LAYER
VG,DE01,GR,51,FAGU SYL,B4,NULL,199507,16,FREQ_   ,IM,31,NULL,NULL,%         ,NULL,280,385,FAGUS SYLVATICA                                         ,FREQUENCY OF SPECIES F+B LAYER
VG,DE01,GR,51,FAGU SYL,B4,NULL,199507,16,COVE_F  ,IM,0.2,NULL,NULL,%         ,NULL,321,385,FAGUS SYLVATICA                                         ,COVER. OF SPECIES/FIELD LAYER 
VG,DE01,GR,51,FAGU SYL,B4,NULL,199507,16,FERT_   ,IM,0,NULL,NULL,%         ,NULL,279,385,FAGUS SYLVATICA                                         ,FERTILITY OF SPECIES F+B LAYER
VG,DE01,GR,51,DESC FLE,B4,NULL,199507,16,FERT_   ,IM,0,NULL,NULL,%         ,NULL,279,385,DESCHAMPSIA FLEXUOSA                                    ,FERTILITY OF SPECIES F+B LAYER
VG,DE01,GR,51,DESC FLE,B4,NULL,199507,16,FREQ_   ,IM,6,NULL,NULL,%         ,NULL,280,385,DESCHAMPSIA FLEXUOSA                                    ,FREQUENCY OF SPECIES F+B LAYER
VG,DE01,GR,51,DESC FLE,B4,NULL,199507,16,COVE_F  ,IM,0.1,NULL,NULL,%         ,NULL,321,385,DESCHAMPSIA FLEXUOSA                                    ,COVER. OF SPECIES/FIELD LAYER 
VG,DE01,GR,51,DRYO DIL,B4,NULL,199507,16,FERT_   ,IM,13,NULL,NULL,%         ,NULL,279,385,DRYOPTERIS DILATATA                                     ,FERTILITY OF SPECIES F+B LAYER
VG,DE01,GR,51,DRYO DIL,B4,NULL,199507,16,FREQ_   ,IM,56,NULL,NULL,%         ,NULL,280,385,DRYOPTERIS DILATATA                                     ,FREQUENCY OF SPECIES F+B LAYER
VG,DE01,GR,51,DRYO DIL,B4,NULL,199507,16,COVE_F  ,IM,2.8,NULL,NULL,%         ,NULL,321,385,DRYOPTERIS DILATATA                                     ,COVER. OF SPECIES/FIELD LAYER 
VG,DE01,GR,51,MAJA BIF,B4,NULL,199507,16,FREQ_   ,IM,19,NULL,NULL,%         ,NULL,280,385,MAJANTHEMUM BIFOLIUM                                    ,FREQUENCY OF SPECIES F+B LAYER
VG,DE01,GR,51,MAJA BIF,B4,NULL,199507,16,COVE_F  ,IM,0.2,NULL,NULL,%         ,NULL,321,385,MAJANTHEMUM BIFOLIUM                                    ,COVER. OF SPECIES/FIELD LAYER 
VG,DE01,GR,51,MAJA BIF,B4,NULL,199507,16,FERT_   ,IM,0,NULL,NULL,%         ,NULL,279,385,MAJANTHEMUM BIFOLIUM                                    ,FERTILITY OF SPECIES F+B LAYER
VG,DE01,GR,51,OXAL ACE,B4,NULL,199507,16,FERT_   ,IM,0,NULL,NULL,%         ,NULL,279,385,OXALIS ACETOSELLA                                       ,FERTILITY OF SPECIES F+B LAYER
VG,DE01,GR,51,OXAL ACE,B4,NULL,199507,16,FREQ_   ,IM,25,NULL,NULL,%         ,NULL,280,385,OXALIS ACETOSELLA                                       ,FREQUENCY OF SPECIES F+B LAYER
VG,DE01,GR,51,OXAL ACE,B4,NULL,199507,16,COVE_F  ,IM,0.3,NULL,NULL,%         ,NULL,321,385,OXALIS ACETOSELLA                                       ,COVER. OF SPECIES/FIELD LAYER 
VG,DE01,GR,51,SORB AUC,B4,NULL,199507,16,FERT_   ,IM,0,NULL,NULL,%         ,NULL,279,385,SORBUS AUCUPARIA                                        ,FERTILITY OF SPECIES F+B LAYER
VG,DE01,GR,51,SORB AUC,B4,NULL,199507,16,FREQ_   ,IM,13,NULL,NULL,%         ,NULL,280,385,SORBUS AUCUPARIA                                        ,FREQUENCY OF SPECIES F+B LAYER
VG,DE01,GR,51,SORB AUC,B4,NULL,199507,16,COVE_F  ,IM,0.1,NULL,NULL,%         ,NULL,321,385,SORBUS AUCUPARIA                                        ,COVER. OF SPECIES/FIELD LAYER 
VG,DE01,GR,60,PICE ABI,B4,NULL,199509,21,COVE_T  ,IM,15,NULL,NULL,%         ,NULL,319,1584,PICEA ABIES                                             ,COVER. OF SPECIES/TREE LAYER  
VG,DE01,GR,60,PICE ABI,B4,NULL,199509,21,NUM_L   ,IM,84,NULL,NULL,/HA       ,NULL,323,1584,PICEA ABIES                                             ,NUMBER OF LIVING TREES        
VG,DE01,GR,60,PICE ABI,B4,NULL,199509,3,NUM_D   ,IM,12,NULL,NULL,/HA       ,NULL,324,1584,PICEA ABIES                                             ,NUMBER OF DEAD STANDING TREES 
VG,DE01,GR,60,PICE ABI,B4,NULL,199509,7,NUM_F   ,IM,28,NULL,NULL,/HA       ,NULL,325,1584,PICEA ABIES                                             ,NUMBER OF FALLEN TREES        
VG,DE01,GR,60,PICE ABI,B4,NULL,199509,21,HCROW_  ,IM,13.2,NULL,NULL,M         ,NULL,327,1584,PICEA ABIES                                             ,CROWN HEIGHT                  
VG,DE01,GR,60,PICE ABI,B4,NULL,199509,21,DBH_L   ,IM,36.8,NULL,NULL,CM        ,NULL,328,1584,PICEA ABIES                                             ,DIAMETER OF STEM OF LIVE TREES
VG,DE01,GR,60,PICE ABI,B4,NULL,199509,3,DBH_D   ,IM,31,NULL,NULL,CM        ,NULL,329,1584,PICEA ABIES                                             ,DIAMETER OF STEM OF DEAD TREES
VG,DE01,GR,60,PICE ABI,B4,NULL,199509,21,HEIG_L  ,IM,28.6,NULL,NULL,M         ,NULL,332,1584,PICEA ABIES                                             ,HEIGHT OF LIVING TREES        
VG,DE01,GR,60,FAGU SYL,B4,NULL,199509,23,DBH_D   ,IM,10,NULL,NULL,CM        ,NULL,329,1584,FAGUS SYLVATICA                                         ,DIAMETER OF STEM OF DEAD TREES
VG,DE01,GR,60,FAGU SYL,B4,NULL,199509,125,HEIG_L  ,IM,19.7,NULL,NULL,M         ,NULL,332,1584,FAGUS SYLVATICA                                         ,HEIGHT OF LIVING TREES        
VG,DE01,GR,60,FAGU SYL,B4,NULL,199509,125,COVE_T  ,IM,75,NULL,NULL,%         ,NULL,319,1584,FAGUS SYLVATICA                                         ,COVER. OF SPECIES/TREE LAYER  
VG,DE01,GR,60,FAGU SYL,B4,NULL,199509,125,NUM_L   ,IM,500,NULL,NULL,/HA       ,NULL,323,1584,FAGUS SYLVATICA                                         ,NUMBER OF LIVING TREES        
VG,DE01,GR,60,FAGU SYL,B4,NULL,199509,23,NUM_D   ,IM,92,NULL,NULL,/HA       ,NULL,324,1584,FAGUS SYLVATICA                                         ,NUMBER OF DEAD STANDING TREES 
VG,DE01,GR,60,FAGU SYL,B4,NULL,199509,9,NUM_F   ,IM,36,NULL,NULL,/HA       ,NULL,325,1584,FAGUS SYLVATICA                                         ,NUMBER OF FALLEN TREES        
VG,DE01,GR,60,FAGU SYL,B4,NULL,199509,125,HCROW_  ,IM,11.3,NULL,NULL,M         ,NULL,327,1584,FAGUS SYLVATICA                                         ,CROWN HEIGHT                  
VG,DE01,GR,60,FAGU SYL,B4,NULL,199509,125,DBH_L   ,IM,22.5,NULL,NULL,CM        ,NULL,328,1584,FAGUS SYLVATICA                                         ,DIAMETER OF STEM OF LIVE TREES
VG,DE01,GR,61,HYPN CUP,M2,NULL,199507,16,FERT_   ,IM,38,NULL,NULL,%         ,NULL,279,387,HYPNUM CUPRESSIFORME  HEDW.                             ,FERTILITY OF SPECIES F+B LAYER
VG,DE01,GR,61,HYPN CUP,M2,NULL,199507,16,FREQ_   ,IM,94,NULL,NULL,%         ,NULL,280,387,HYPNUM CUPRESSIFORME  HEDW.                             ,FREQUENCY OF SPECIES F+B LAYER
VG,DE01,GR,61,HYPN CUP,M2,NULL,199507,16,COVE_B  ,IM,0.7,NULL,NULL,%         ,NULL,322,387,HYPNUM CUPRESSIFORME  HEDW.                             ,COVER. OF SPECIES/BOTTOM LAYER
VG,DE01,GR,61,LOPH HEP,M2,NULL,199507,16,FERT_   ,IM,0,NULL,NULL,%         ,NULL,279,387,LOPHOCOLEA HETEROPHYLLA (SCHRAD.) DUM.                  ,FERTILITY OF SPECIES F+B LAYER
VG,DE01,GR,61,LOPH HEP,M2,NULL,199507,16,FREQ_   ,IM,50,NULL,NULL,%         ,NULL,280,387,LOPHOCOLEA HETEROPHYLLA (SCHRAD.) DUM.                  ,FREQUENCY OF SPECIES F+B LAYER
VG,DE01,GR,61,LOPH HEP,M2,NULL,199507,16,COVE_B  ,IM,0.1,NULL,NULL,%         ,NULL,322,387,LOPHOCOLEA HETEROPHYLLA (SCHRAD.) DUM.                  ,COVER. OF SPECIES/BOTTOM LAYER
VG,DE01,GR,61,PICE ABI,B4,NULL,199507,16,FERT_   ,IM,0,NULL,NULL,%         ,NULL,279,387,PICEA ABIES                                             ,FERTILITY OF SPECIES F+B LAYER
VG,DE01,GR,61,PICE ABI,B4,NULL,199507,16,FREQ_   ,IM,100,NULL,NULL,%         ,NULL,280,387,PICEA ABIES                                             ,FREQUENCY OF SPECIES F+B LAYER
VG,DE01,GR,61,PICE ABI,B4,NULL,199507,16,COVE_F  ,IM,6.3,NULL,NULL,%         ,NULL,321,387,PICEA ABIES                                             ,COVER. OF SPECIES/FIELD LAYER 
VG,DE01,GR,61,PLEU SCH,M2,NULL,199507,16,FERT_   ,IM,0,NULL,NULL,%         ,NULL,279,387,PLEUROZIUM SCHREBERI (BRID.) MITT.                      ,FERTILITY OF SPECIES F+B LAYER
VG,DE01,GR,61,PLEU SCH,M2,NULL,199507,16,FREQ_   ,IM,6,NULL,NULL,%         ,NULL,280,387,PLEUROZIUM SCHREBERI (BRID.) MITT.                      ,FREQUENCY OF SPECIES F+B LAYER
VG,DE01,GR,61,PLEU SCH,M2,NULL,199507,16,COVE_B  ,IM,0.1,NULL,NULL,%         ,NULL,322,387,PLEUROZIUM SCHREBERI (BRID.) MITT.                      ,COVER. OF SPECIES/BOTTOM LAYER
VG,DE01,GR,61,LOPH BID,M2,NULL,199507,16,FERT_   ,IM,0,NULL,NULL,%         ,NULL,279,387,LOPHOCOLEA BIDENTATA (L.) DUM.                          ,FERTILITY OF SPECIES F+B LAYER
VG,DE01,GR,61,LOPH BID,M2,NULL,199507,16,FREQ_   ,IM,6,NULL,NULL,%         ,NULL,280,387,LOPHOCOLEA BIDENTATA (L.) DUM.                          ,FREQUENCY OF SPECIES F+B LAYER
VG,DE01,GR,61,LOPH BID,M2,NULL,199507,16,COVE_B  ,IM,0.1,NULL,NULL,%         ,NULL,322,387,LOPHOCOLEA BIDENTATA (L.) DUM.                          ,COVER. OF SPECIES/BOTTOM LAYER
VG,DE01,GR,61,VACC MYR,B4,NULL,199507,16,FERT_   ,IM,0,NULL,NULL,%         ,NULL,279,387,VACCINIUM MYRTILLUS                                     ,FERTILITY OF SPECIES F+B LAYER
VG,DE01,GR,61,VACC MYR,B4,NULL,199507,16,FREQ_   ,IM,38,NULL,NULL,%         ,NULL,280,387,VACCINIUM MYRTILLUS                                     ,FREQUENCY OF SPECIES F+B LAYER
VG,DE01,GR,61,VACC MYR,B4,NULL,199507,16,COVE_F  ,IM,0.4,NULL,NULL,%         ,NULL,321,387,VACCINIUM MYRTILLUS                                     ,COVER. OF SPECIES/FIELD LAYER 
VG,DE01,GR,61,NULL,NULL,NULL,199507,16,COVE_F  ,IM,8.1,NULL,NULL,%         ,NULL,321,387,NULL,COVER. OF SPECIES/FIELD LAYER 
VG,DE01,GR,61,NULL,NULL,NULL,199507,16,COVE_B  ,IM,4.5,NULL,NULL,%         ,NULL,322,387,NULL,COVER. OF SPECIES/BOTTOM LAYER
VG,DE01,GR,61,SCAP NEM,M2,NULL,199507,16,FERT_   ,IM,0,NULL,NULL,%         ,NULL,279,387,SCAPANIA NEMOREA (L.) GROLLE                            ,FERTILITY OF SPECIES F+B LAYER
VG,DE01,GR,61,SCAP NEM,M2,NULL,199507,16,FREQ_   ,IM,6,NULL,NULL,%         ,NULL,280,387,SCAPANIA NEMOREA (L.) GROLLE                            ,FREQUENCY OF SPECIES F+B LAYER
VG,DE01,GR,61,SCAP NEM,M2,NULL,199507,16,COVE_B  ,IM,0.1,NULL,NULL,%         ,NULL,322,387,SCAPANIA NEMOREA (L.) GROLLE                            ,COVER. OF SPECIES/BOTTOM LAYER
VG,DE01,GR,61,PTIL CIL,M2,NULL,199507,16,FERT_   ,IM,0,NULL,NULL,%         ,NULL,279,387,PTILIDIUM CILIARE (L.) HAMPE                            ,FERTILITY OF SPECIES F+B LAYER
VG,DE01,GR,61,PTIL CIL,M2,NULL,199507,16,FREQ_   ,IM,13,NULL,NULL,%         ,NULL,280,387,PTILIDIUM CILIARE (L.) HAMPE                            ,FREQUENCY OF SPECIES F+B LAYER
